date,forecast_generation_mw,expected_dam_price,expected_dam_price_kwh,forecast_revenue_inr,forecast_revenue_lakhs,forecast_revenue_crores
2026-06-23,185.39,6761.7,6.76,1253548.22,12.5355,0.125355
2026-06-24,183.34,6761.7,6.76,1239687.83,12.3969,0.123969
2026-06-25,188.93,6761.7,6.76,1277503.16,12.775,0.12775
2026-06-26,185.27,6761.7,6.76,1252753.05,12.5275,0.125275
2026-06-27,157.77,6761.7,6.76,1066823.49,10.6682,0.106682
2026-06-28,179.73,6761.7,6.76,1215258.42,12.1526,0.121526
2026-06-29,185.87,6761.7,6.76,1256767.53,12.5677,0.125677
2026-06-30,185.43,6761.7,6.76,1253844.86,12.5384,0.125384
2026-07-01,156.83,4681.17,4.68,734161.94,7.3416,0.073416
2026-07-02,132.08,4681.17,4.68,618285.03,6.1829,0.061829
2026-07-03,110.17,4681.17,4.68,515708.32,5.1571,0.051571
2026-07-04,126.72,4681.17,4.68,593203.98,5.932,0.05932
2026-07-05,137.45,4681.17,4.68,643404.26,6.434,0.06434
